f1,f2,robot_1,robot_2,robot_3
6.078861117362976,2.5632763,"[17, 4, 8, 18, 1]","[11, 9, 15, 2, 7, 19, 10]","[13, 12, 0, 5, 16, 14, 6, 3]"
6.127105712890625,2.413587,"[17, 4, 8, 7, 2, 1]","[11, 9, 15, 18, 13, 5, 19]","[3, 6, 10, 14, 16, 0, 12]"
6.3199944496154785,2.3810487,"[9, 11, 17, 4, 8, 15, 18, 7, 2]","[19, 5, 1]","[13, 12, 0, 16, 14, 10, 6, 3]"
6.120331287384033,2.4834657,"[1, 2, 18, 8, 4, 17]","[11, 9, 15, 7, 5, 19, 14, 10]","[13, 12, 0, 16, 6, 3]"
6.020373702049255,3.0468078,"[17, 4, 8, 1]","[9, 2, 12, 0, 13, 5, 7, 18, 15, 11]","[3, 6, 10, 19, 14, 16]"
6.088557839393616,2.605915,"[17, 4, 8, 18]","[11, 9, 15, 1, 2, 7, 19, 10]","[13, 12, 0, 5, 16, 14, 6, 3]"
6.179877519607544,2.4405465,"[17, 4, 8, 1]","[11, 9, 15, 18, 6]","[3, 10, 19, 7, 2, 12, 0, 13, 5, 16, 14]"
6.129154443740845,2.4984221,"[1, 2, 8, 4, 17]","[11, 9, 15, 18, 7, 5, 19, 14, 10]","[3, 6, 16, 0, 12, 13]"
6.030111789703369,3.1416142,"[17, 4, 8]","[11, 9, 15, 18, 1, 2, 7, 5, 19, 14, 10, 6]","[13, 12, 0, 16, 3]"
6.052469730377197,3.0149794,"[4, 17, 11]","[9, 15, 18, 1, 2, 7, 19, 8, 10, 6]","[13, 12, 0, 5, 16, 14, 3]"
6.1734946966171265,2.4639862,"[17, 4, 8, 18, 7, 2]","[10, 19, 1, 15, 9, 11]","[13, 12, 0, 5, 16, 14, 6, 3]"
6.368997573852539,2.3905048,"[9, 11, 17, 4, 2, 1]","[8, 15, 18, 7, 5, 10]","[16, 13, 12, 0, 19, 14, 6, 3]"
6.084739446640015,2.8163314,"[9, 11, 17, 4, 8, 15, 18, 19, 2, 1]","[7, 0, 12, 13, 5, 16, 14, 10]","[6, 3]"
6.114609956741333,2.7669835,"[17, 4, 8]","[11, 9, 15, 1, 2, 18, 19, 10, 6]","[13, 12, 0, 7, 5, 16, 14, 3]"
6.273443818092346,2.4603295,"[9, 11, 17, 4, 8, 15, 1, 2]","[18, 7, 19, 5, 16, 14, 10]","[3, 6, 13, 0, 12]"
6.180910348892212,2.5510197,"[1, 2, 8, 4, 17]","[11, 9, 15, 18, 7, 19, 5, 16, 14, 10]","[13, 12, 0, 6, 3]"
6.213411331176758,2.5489721,"[17, 4, 8, 15, 1, 2]","[11, 9, 18, 7, 19, 5, 16, 14, 10]","[13, 12, 0, 6, 3]"
6.133984208106995,2.6436176,"[17, 4, 8, 1]","[11, 9, 15, 18, 2, 7, 19, 10]","[13, 12, 0, 5, 16, 14, 6, 3]"
6.069848895072937,3.2203186,"[17, 4]","[11, 9, 15, 18, 1, 2, 7, 5, 19, 8, 10, 6]","[13, 12, 0, 16, 14, 3]"
6.04489278793335,3.2980847,"[17, 4, 8, 1]","[11, 9, 15, 18, 7, 2, 12, 0, 13, 5, 19, 10]","[3, 6, 14, 16]"
